episode,path_length,accumulated_path_length
1,141.415344891634,141.415344891634
2,152.598904417269,294.014249308903
3,114.6425545192817,408.6568038281847
4,139.187630761765,547.8444345899497
5,150.18540601396646,698.0298406039162
6,141.94255813118866,839.9723987351049
7,131.63960999093618,971.612008726041
8,159.73788898261296,1131.349897708654
9,128.0702708132621,1259.4201685219161
10,134.86854537485706,1394.2887138967733
11,148.80235143972246,1543.0910653364958
12,121.45971129980845,1664.5507766363044
13,130.21656500984028,1794.7673416461446
14,139.05382202203268,1933.8211636681772
15,134.7040745226331,2068.5252381908103
16,158.4579850211942,2226.9832232120043
17,150.66580351027486,2377.6490267222794
18,146.47758763033676,2524.1266143526163
19,140.06681794298046,2664.1934322955967
20,134.40702394408177,2798.6004562396784
21,122.35016723729717,2920.9506234769756
22,139.58691928630282,3060.5375427632785
23,123.11412691593081,3183.651669679209
24,151.41951100448574,3335.071180683695
25,134.63545191273198,3469.706632596427
26,146.48986291508334,3616.1964955115104
27,124.17321367168081,3740.3697091831914
28,140.30995763398678,3880.6796668171783
29,156.98053107523882,4037.6601978924173
30,134.54550206159,4172.205699954007
31,134.15138497206502,4306.357084926072
32,157.03616772963414,4463.393252655706
33,174.0866255408224,4637.479878196529
34,120.41585785574038,4757.89573605227
35,148.24793652914423,4906.143672581415
36,128.76509305037948,5034.908765631794
37,125.70702348275634,5160.61578911455
38,139.27758298183886,5299.89337209639
39,131.6969729979984,5431.590345094388
40,131.80529161286557,5563.395636707253
41,137.38813817260265,5700.783774879856
42,123.15017147121281,5823.933946351069
43,136.22905055780058,5960.162996908869
44,118.41240076730767,6078.575397676177
45,124.15261337012686,6202.728011046304
46,119.18275787590048,6321.910768922205
47,148.69179333759232,6470.602562259797
48,137.26265345403797,6607.865215713835
49,156.70133942387537,6764.566555137711
50,142.31240358896213,6906.878958726673
51,147.25383069671085,7054.132789423384
52,125.09869316647784,7179.231482589861
53,148.18225158554998,7327.413734175411
54,125.11463385922698,7452.528368034638
55,118.20336343854592,7570.7317314731845
56,140.1319985619555,7710.86373003514
57,146.4253967137945,7857.289126748935
58,149.56042475980223,8006.849551508737
59,136.36093336097483,8143.210484869712
60,127.80701820104173,8271.017503070754
61,138.14549794021303,8409.163001010967
62,132.9768652039991,8542.139866214966
63,132.63788831108417,8674.77775452605
64,131.65016735041124,8806.427921876462
65,135.21828593991205,8941.646207816375
66,154.30895567723545,9095.95516349361
67,142.28935940174188,9238.244522895353
68,136.9543281699304,9375.198851065283
69,136.27565650375647,9511.474507569039
70,149.2604326490328,9660.734940218072
71,140.11067562175998,9800.845615839831
72,123.69453593139168,9924.540151771223
73,128.22001454803248,10052.760166319256
74,136.20306808661073,10188.963234405866
75,138.03788766485417,10327.00112207072
76,133.45555333287018,10460.45667540359
77,156.74032959432617,10617.197004997915
78,133.5460081498334,10750.743013147749
79,119.54478322110708,10870.287796368855
80,127.60214797558629,10997.88994434444
81,144.45260129633047,11142.342545640771
82,127.21291156952961,11269.555457210301
83,132.57148459556257,11402.126941805864
84,116.94427553220918,11519.071217338073
85,135.64722780792812,11654.718445146
86,135.7300757955283,11790.448520941529
87,137.97686791689165,11928.42538885842
88,152.31534434757268,12080.740733205994
89,151.93860113423605,12232.67933434023
90,139.760934500288,12372.440268840517
91,132.0023527457889,12504.442621586306
92,150.29230305911278,12654.734924645418
93,139.7437778336542,12794.478702479071
94,131.0116846653709,12925.490387144442
95,162.79180024955625,13088.282187394
96,114.08083326296578,13202.363020656965
97,145.76215670298097,13348.125177359947
98,128.120012578279,13476.245189938227
99,152.87636417672402,13629.12155411495
100,130.6991974422611,13759.820751557212
