episode,path_length,accumulated_path_length
1,122.28325910732389,122.28325910732389
2,125.03473834078068,247.31799744810456
3,116.56316601005321,363.88116345815774
4,130.95432958046115,494.8354930386189
5,123.41879596474635,618.2542890033652
6,120.48031664231183,738.734605645677
7,133.31290644454933,872.0475120902263
8,141.9241824139877,1013.9716945042139
9,138.51657137876327,1152.4882658829772
10,118.59453648961745,1271.0828023725946
11,111.85900132991273,1382.9418037025073
12,128.71879819478414,1511.6606018972914
13,132.886917604912,1644.5475195022034
14,103.61930053973332,1748.1668200419367
15,119.84011952320985,1868.0069395651465
16,144.47981511342323,2012.4867546785697
17,133.88641573729694,2146.3731704158668
18,138.8933176798781,2285.266488095745
19,124.64722327470014,2409.913711370445
20,127.61047070241348,2537.5241820728584
21,140.22540242723565,2677.749584500094
22,129.45138666443574,2807.2009711645296
23,142.39331175709307,2949.594282921623
24,139.7702672832222,3089.364550204845
25,122.2602203643646,3211.6247705692094
26,135.8354520107915,3347.460222580001
27,125.09452254489956,3472.5547451249004
28,132.15899736073328,3604.7137424856337
29,146.2739257043031,3750.987668189937
30,135.1643799176614,3886.152048107598
31,117.77666212015747,4003.928710227756
32,146.05677890373389,4149.98548913149
33,131.28448340173404,4281.269972533224
34,127.72001536853665,4408.98998790176
35,121.56021504143534,4530.5502029431955
36,121.97737926517401,4652.5275822083695
37,143.11118683295888,4795.6387690413285
38,122.02590068110891,4917.664669722438
39,132.5714867435938,5050.236156466031
40,132.4732111086037,5182.7093675746355
41,125.63057547796448,5308.3399430526
42,120.64427751889723,5428.984220571497
43,132.29402775296927,5561.278248324466
44,121.94721973642692,5683.225468060893
45,132.51585730447067,5815.741325365364
46,135.1592061080501,5950.900531473414
47,120.71585512218047,6071.616386595594
48,135.678593833351,6207.294980428946
49,136.15848803288657,6343.453468461832
50,149.61291470262256,6493.066383164454
51,132.414129689777,6625.480512854231
52,138.81757531288577,6764.298088167117
53,134.07443514176532,6898.372523308883
54,127.57199439965734,7025.94451770854
55,118.56661540983768,7144.511133118378
56,118.05848368846931,7262.569616806847
57,128.7359526969724,7391.305569503819
58,137.37148546319838,7528.677054967017
59,130.32052131403952,7658.997576281057
60,132.49525171705383,7791.492827998111
61,155.24205052736693,7946.734878525478
62,122.41291329719658,8069.147791822675
63,131.46804001292867,8200.615831835603
64,124.01169301991644,8324.62752485552
65,127.24011650967404,8451.867641365194
66,134.3974769424452,8586.26511830764
67,111.58915077378728,8697.854269081427
68,126.55604578254122,8824.410314863968
69,142.55799076612325,8966.968305630091
70,127.98032353279977,9094.948629162891
71,129.5229594803858,9224.471588643277
72,119.95605576539877,9344.427644408675
73,139.33250923051108,9483.760153639187
74,124.51950563829541,9608.279659277483
75,134.53178375273563,9742.81144303022
76,133.44011814203776,9876.251561172257
77,136.96976193790738,10013.221323110165
78,116.92346543597354,10130.144788546138
79,130.51118495784633,10260.655973503985
80,116.62296405174696,10377.278937555731
81,137.12884166164937,10514.407779217381
82,131.96316026914968,10646.370939486531
83,125.51585199595172,10771.886791482482
84,140.4373782547869,10912.324169737269
85,136.78276305070278,11049.106932787972
86,119.1489528137864,11168.255885601759
87,138.3366742507211,11306.59255985248
88,134.72539540779485,11441.317955260274
89,130.10408017198426,11571.422035432259
90,127.5075256581633,11698.929561090423
91,120.27859781970822,11819.20815891013
92,127.79524958477836,11947.00340849491
93,134.91413083841655,12081.917539333326
94,120.54479030903063,12202.462329642356
95,129.69159693116626,12332.153926573523
96,129.72124054321344,12461.875167116736
97,132.333518671203,12594.208685787939
98,125.55655715928302,12719.765242947222
99,142.7810338403376,12862.54627678756
100,121.97493019174166,12984.521206979301
