episode,path_length,accumulated_path_length
1,150.14083495262645,150.14083495262645
2,160.88468864870384,311.0255236013303
3,136.41118668015733,447.43671028148765
4,134.07910408968038,581.5158143711681
5,145.33494386679888,726.8507582379669
6,130.688139931561,857.538898169528
7,148.52489532551306,1006.0637934950411
8,146.43027285125393,1152.494066346295
9,145.52245344509316,1298.0165197913882
10,134.2798169684948,1432.296336759883
11,162.51900841134164,1594.8153451712246
12,151.02245938100108,1745.8378045522256
13,127.03251289899399,1872.8703174512195
14,136.771993269222,2009.6423107204416
15,156.35676606773163,2165.999076788173
16,121.83889580167609,2287.8379725898494
17,139.30702577178943,2427.144998361639
18,132.85504586407953,2560.0000442257183
19,130.99941187577713,2690.9994561014955
20,133.9668222142151,2824.9662783157105
21,160.26531040526072,2985.231588720971
22,143.19647084892722,3128.4280595698983
23,159.42611373741673,3287.8541733073152
24,144.83616181649126,3432.6903351238066
25,122.97910036289714,3555.6694354867036
26,116.72712545629723,3672.3965609430006
27,132.96215916079288,3805.3587201037935
28,144.7361600325228,3950.0948801363165
29,154.9528108379707,4105.047690974287
30,154.5042903258569,4259.551981300145
31,152.6579900848757,4412.20997138502
32,153.4741381058662,4565.684109490887
33,144.47514757059082,4710.159257061478
34,150.96387831316832,4861.123135374646
35,148.71778577383236,5009.840921148479
36,153.46265570846012,5163.303576856939
37,148.65210250820178,5311.955679365141
38,131.86975734484733,5443.825436709988
39,141.9999172446663,5585.825353954654
40,147.35554583651387,5733.180899791168
41,161.69352228601818,5894.874422077186
42,128.82418035151687,6023.6986024287025
43,114.15899382019666,6137.857596248899
44,131.48986261306217,6269.347458861962
45,139.7094573945258,6409.056916256488
46,141.27047741430843,6550.3273936707965
47,158.718998340954,6709.046392011751
48,163.3628638664774,6872.409255878229
49,133.93960978215352,7006.348865660382
50,153.57342043271336,7159.922286093096
51,150.2734294232653,7310.195715516361
52,131.9506628816681,7442.146378398029
53,133.5893622132195,7575.735740611249
54,140.75970932485995,7716.495449936108
55,144.5886458746256,7861.084095810734
56,171.78347154674415,8032.867567357478
57,164.28418838404596,8197.151755741525
58,130.45016454771576,8327.60192028924
59,129.42123672865605,8457.023157017897
60,147.9550450685405,8604.978202086437
61,152.32905838556033,8757.307260471996
62,144.33006414385704,8901.637324615853
63,149.1716934364563,9050.809018052309
64,130.8207325145675,9181.629750566875
65,146.79697051146863,9328.426721078344
66,139.5153505444383,9467.942071622781
67,140.68864382682546,9608.630715449606
68,149.19372295210977,9757.824438401716
69,146.40824578887708,9904.232684190592
70,183.2422594062813,10087.474943596873
71,141.6030671769934,10229.078010773866
72,163.31068125446626,10392.388692028333
73,132.59575137097045,10524.984443399304
74,152.3817472180548,10677.366190617358
75,129.0778851391694,10806.444075756528
76,118.59453000765672,10925.038605764184
77,151.74205605708386,11076.780661821269
78,153.1295655813178,11229.910227402586
79,149.7001169642664,11379.610344366853
80,142.99890184938775,11522.60924621624
81,126.0342287110954,11648.643474927336
82,138.4893518948602,11787.132826822195
83,141.6396112310635,11928.772438053258
84,135.91655775515645,12064.688995808414
85,152.57341524771962,12217.262411056134
86,129.60407702714264,12346.866488083277
87,132.29402817621258,12479.16051625949
88,144.68345939336598,12623.843975652855
89,145.62072364077616,12769.46469929363
90,143.49281275514625,12912.957512048777
91,138.31291168322704,13051.270423732005
92,144.55575642368362,13195.82618015569
93,138.02245728987148,13333.84863744556
94,151.77047486155286,13485.619112307113
95,148.50650994914912,13634.125622256262
96,140.7111866928712,13774.836808949134
97,138.25899763337603,13913.09580658251
98,143.1236746500356,14056.219481232547
99,147.76753752526176,14203.987018757809
100,143.4645883058905,14347.4516070637
