episode,path_length,accumulated_path_length
1,111.9058028316678,111.9058028316678
2,119.59158890387768,231.49739173554548
3,112.09870009931753,343.596091834863
4,105.29747786026536,448.89356969512835
5,107.74062190792829,556.6341916030566
6,132.32417788771667,688.9583694907733
7,116.89991477144663,805.85828426222
8,116.7595051378918,922.6177894001117
9,117.44651320889726,1040.064302609009
10,115.63056788521295,1155.694870494222
11,127.19575264277299,1282.890623136995
12,118.43128143622269,1401.3219045732176
13,110.38498940326107,1511.7068939764786
14,124.69697335089171,1636.4038673273703
15,123.81118408681147,1760.2150514141817
16,118.92935043712458,1879.1444018513064
17,114.99798686504401,1994.1423887163503
18,118.7359551210868,2112.878343837437
19,112.58447694774753,2225.4628207851847
20,118.07442840616638,2343.5372491913513
21,107.1411296097115,2450.678378801063
22,104.25483663072643,2554.9332154317894
23,117.18985847849537,2672.123073910285
24,115.95483638890933,2788.077910299194
25,116.78569494206184,2904.863605241256
26,101.97959961297795,3006.843204854234
27,114.70752573460932,3121.550730588843
28,112.91219466630822,3234.4629252551513
29,115.07666315881005,3349.539588413961
30,132.24671644424023,3481.786304858201
31,120.30042300114552,3602.086727859347
32,117.83717181161377,3719.9238996709605
33,106.56194730733432,3826.485846978295
34,106.82224438167111,3933.308091359966
35,109.45656560350605,4042.764656963472
36,125.80824021623175,4168.572897179703
37,118.14133152900585,4286.714228708709
38,131.06681880630745,4417.781047515016
39,133.8324994246672,4551.613546939683
40,123.44478427478779,4675.058331214471
41,121.6614401376007,4796.719771352072
42,120.8590001178749,4917.578771469946
43,114.18914943147445,5031.76792090142
44,120.45483614132814,5152.2227570427485
45,118.20874451663201,5270.43150155938
46,117.04011251344357,5387.471614072824
47,97.43402163914145,5484.905635711965
48,105.63351171010657,5590.539147422071
49,136.24428739681323,5726.783434818884
50,113.07027119241124,5839.853706011296
51,104.70509029577055,5944.558796307067
52,117.41463425346014,6061.973430560527
53,114.07615021020105,6176.049580770728
54,111.71463378710276,6287.764214557831
55,120.88692514794926,6408.65113970578
56,103.67320769772806,6512.324347403508
57,98.42518935383173,6610.74953675734
58,132.01757447607696,6742.767111233417
59,116.37493994800444,6859.142051181422
60,117.25727868478909,6976.399329866212
61,117.13767766088385,7093.537007527096
62,115.49696733276154,7209.033974859857
63,119.61047488367159,7328.644449743529
64,115.17858933152829,7443.823039075057
65,101.55067480134801,7545.3737138764045
66,103.48081438261076,7648.854528259015
67,102.80092427284586,7751.655452531861
68,143.55870106388323,7895.2141535957435
69,115.04305439767303,8010.257207993416
70,113.87909429638029,8124.136302289797
71,106.78275872884656,8230.919061018643
72,124.65605501830076,8355.575116036944
73,115.13646258173073,8470.711578618675
74,119.41168983816713,8590.123268456842
75,118.3597098395132,8708.482978296355
76,105.31513498410399,8813.79811328046
77,120.61118970462412,8934.409302985085
78,102.54823166616586,9036.95753465125
79,101.9014261739564,9138.858960825206
80,124.2352387097373,9263.094199534944
81,106.33594892155327,9369.430148456497
82,126.71879368461033,9496.148942141108
83,128.74427750143673,9624.893219642545
84,102.84528332465999,9727.738502967204
85,115.12884831748335,9842.867351284687
86,108.99503530517775,9951.862386589864
87,118.44427571883935,10070.306662308703
88,116.37788239393271,10186.684544702635
89,105.30336240507478,10291.98790710771
90,121.96853645656971,10413.95644356428
91,120.39991668565857,10534.35636024994
92,125.98275711359791,10660.339117363537
93,110.38031745192181,10770.719434815459
94,105.22640731430499,10875.945842129764
95,124.80579720640654,11000.751639336171
96,106.93351176741439,11107.685151103586
97,102.60264781779317,11210.28779892138
98,120.39625209919764,11330.684051020577
99,115.83179248267625,11446.515843503254
100,119.0543327670969,11565.57017627035
